,support,itemsets,length
168,0.012626622913397062,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",4
75,0.028820088457697245,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",3
114,0.011413896418889999,"frozenset({'2922 (60VDC Voltage Readout)', '1422 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",3
109,0.011128549008417749,"frozenset({'9215 (Calc Flexjoint Differential Bearing)', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
161,0.013339991439577686,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
165,0.013482665144813812,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
166,0.013125980881723499,"frozenset({'9227 (LMRP HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))', '9277 (LMRP HPHT Pressure - Corrected (PSI))'})",3
167,0.013125980881723499,"frozenset({'9224 (Stack HPHT Pressure - Raw (PSI))', '9227 (LMRP HPHT Pressure - Raw (PSI))', '9274 (Stack HPHT Pressure - Corrected (PSI))'})",3
133,0.011199885861035812,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
94,0.014624054786702811,"frozenset({'2922 (60VDC Voltage Readout)', '2919 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)'})",3
93,0.027322014552717933,"frozenset({'2904 (Manifold Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)', '2922 (60VDC Voltage Readout)'})",3
88,0.012269938650306749,"frozenset({'2922 (60VDC Voltage Readout)', '1422 (60VDC Voltage Readout)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
87,0.013125980881723499,"frozenset({'1422 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
183,0.023969182479668998,"frozenset({'1417 (Pod Supply Pressure)', '1422 (60VDC Voltage Readout)', '1408 (Pod Pressure)'})",3
184,0.013982023113140249,"frozenset({'1408 (Pod Pressure)', '1417 (Pod Supply Pressure)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",3
134,0.014909402197175061,"frozenset({'1419 (Wellhead Connector Regulator Readback Pressure)', '1422 (60VDC Voltage Readout)', '1404 (Manifold Annular Regulator Pilot Pressure)'})",3
74,0.01918961335425881,"frozenset({'2907 (Upper Annular Regulator Pilot Pressure)', '2904 (Manifold Annular Regulator Pilot Pressure)', '2919 (Wellhead Connector Regulator Readback Pressure)'})",3
185,0.011128549008417749,"frozenset({'1408 (Pod Pressure)', '1417 (Pod Supply Pressure)', '1407 (Upper Annular Regulator Pilot Pressure)'})",3
